id,transaction_per_day,age,weight,height,prosperity_level
5835,25,37,54.17 kg,168.88 cm,Low
5836,17,34,75.81 kg,160.96 cm,Low
5837,19,24,68.45 kg,160.91 cm,Low
5838,49,51,73.26 kg,151.46 cm,Average
5839,21,36,77.31 kg,159.91 cm,Low
5840,33,,60.85 kg,164.22 cm,Low
5841,16,79,57.02 kg,159.85 cm,Average
5842,27,81,62.12 kg,161.65 cm,Average
5843,23,27,66.99 kg,170.59 cm,Average
5844,,68,72.36 kg,159.7 cm,Average
5845,45,28,70.41 kg,168.62 cm,Low
5846,19,89,56.93 kg,174.72 cm,High
5847,42,29,63.26 kg,156.49 cm,Low
5848,21,55,72.34 kg,162.56 cm,Average
5849,39,44,76.0 kg,154.99 cm,Average
5850,21,79,50.07 kg,179.12 cm,High
5851,25,81,71.9 kg,179.99 cm,Average
5852,45,35,72.67 kg,171.93 cm,Average
5853,20,51,61.62 kg,151.94 cm,High
5854,34,41,56.46 kg,164.28 cm,Low
5855,33,25,67.81 kg,152.98 cm,Low
5856,21,89,73.1 kg,159.63 cm,High
5857,23,63,61.89 kg,167.53 cm,High
5858,40,57,75.51 kg,160.33 cm,Average
5859,44,34,63.79 kg,173.8 cm,Average
5860,43,53,78.54 kg,165.47 cm,Average
5861,22,46,73.14 kg,171.52 cm,Average
5862,25,36,51.57 kg,156.21 cm,Average
5863,47,32,77.79 kg,168.63 cm,Low
5864,18,51,75.95 kg,151.42 cm,Average
5865,46,43,76.14 kg,151.19 cm,Average
5866,31,25,56.5 kg,151.01 cm,Low
5867,14,72,79.59 kg,156.14 cm,High
5868,24,70,64.43 kg,175.63 cm,High
5869,22,42,70.58 kg,151.14 cm,Average
5870,19,41,71.0 kg,176.53 cm,Average
5871,33,37,67.02 kg,160.95 cm,Low
5872,15,43,68.42 kg,150.62 cm,Average
5873,13,66,61.14 kg,153.23 cm,Average
5874,31,42,60.22 kg,172.14 cm,Low
5875,13,90,59.87 kg,167.62 cm,Average
5876,18,28,72.25 kg,174.37 cm,Average
5877,20,27,66.53 kg,161.48 cm,Average
5878,28,38,72.68 kg,178.66 cm,Average
5879,20,51,68.26 kg,,Low
5880,25,29,,164.23 cm,Average
5881,20,70,71.65 kg,163.26 cm,High
5882,22,41,64.05 kg,170.1 cm,High
5883,16,54,64.42 kg,161.37 cm,High
5884,38,33,66.03 kg,156.45 cm,Low
5885,39,27,79.11 kg,159.73 cm,Average
5886,34,30,78.16 kg,151.37 cm,Low
5887,23,60,60.94 kg,179.95 cm,Average
5888,20,30,52.55 kg,169.81 cm,Average
5889,18,75,76.12 kg,154.47 cm,Average
5890,49,30,65.44 kg,154.16 cm,Low
5891,34,44,69.87 kg,159.22 cm,Low
5892,22,69,50.57 kg,171.67 cm,High
5893,25,20,72.85 kg,165.63 cm,Average
5894,29,38,52.89 kg,155.47 cm,Low
5895,28,46,59.77 kg,164.59 cm,Low
5896,38,43,51.92 kg,171.31 cm,Average
5897,27,80,74.53 kg,156.75 cm,High
5898,28,28,71.23 kg,171.53 cm,Low
5899,36,54,66.49 kg,156.12 cm,Low
5900,24,27,58.23 kg,163.36 cm,Low
5901,24,58,60.83 kg,159.38 cm,Average
5902,25,34,67.79 kg,162.98 cm,Low
5903,20,89,78.61 kg,173.95 cm,Average
5904,19,72,68.01 kg,166.18 cm,Average
5905,17,74,77.36 kg,158.72 cm,Average
5906,16,77,65.55 kg,151.73 cm,Average
5907,23,79,57.33 kg,,Average
5908,20,80,75.9 kg,169.04 cm,Average
5909,18,52,58.35 kg,156.72 cm,Average
5910,35,25,72.29 kg,165.01 cm,Average
5911,15,76,56.36 kg,155.66 cm,Average
5912,22,50,70.08 kg,159.72 cm,Average
5913,48,52,66.23 kg,173.69 cm,Low
5914,26,38,,162.53 cm,Low
5915,15,55,79.32 kg,150.3 cm,High
5916,32,40,53.28 kg,174.66 cm,Average
5917,25,59,56.27 kg,156.63 cm,
5918,39,35,59.61 kg,157.24 cm,Low
5919,24,69,60.02 kg,174.29 cm,High
5920,22,85,62.34 kg,167.07 cm,Average
5921,31,22,60.59 kg,152.97 cm,Average
5922,20,94,73.73 kg,171.27 cm,Average
5923,14,48,51.38 kg,176.14 cm,Average
5924,12,69,63.63 kg,179.71 cm,High
5925,39,57,62.63 kg,164.14 cm,Low
5926,25,55,57.25 kg,158.4 cm,Average
5927,19,38,77.32 kg,171.59 cm,Low
5928,34,33,66.34 kg,175.09 cm,Low
5929,20,47,65.17 kg,158.45 cm,Low
5930,36,37,67.64 kg,179.1 cm,Low
5931,19,68,50.83 kg,166.29 cm,High
5932,20,56,52.05 kg,163.06 cm,High
5933,22,44,75.79 kg,163.32 cm,Average
5934,16,68,52.97 kg,172.8 cm,High
5935,26,47,66.83 kg,163.76 cm,High
5936,28,57,75.64 kg,153.49 cm,Average
5937,21,21,68.21 kg,154.61 cm,Average
5938,17,58,77.8 kg,175.81 cm,Average
5939,42,29,79.38 kg,174.41 cm,Low
5940,22,71,56.68 kg,178.06 cm,High
5941,20,97,67.62 kg,175.0 cm,High
5942,18,61,55.48 kg,168.33 cm,High
5943,25,26,55.41 kg,177.32 cm,Average
5944,33,24,55.89 kg,158.78 cm,Low
5945,32,44,55.33 kg,166.43 cm,Low
5946,34,51,51.94 kg,173.82 cm,Low
5947,17,79,61.45 kg,167.85 cm,High
5948,17,87,76.66 kg,171.51 cm,High
5949,29,76,51.56 kg,152.34 cm,Average
5950,14,48,76.5 kg,179.87 cm,High
5951,42,30,71.62 kg,173.25 cm,Average
5952,25,32,60.74 kg,165.18 cm,Average
5953,22,82,74.48 kg,170.95 cm,High
5954,17,91,68.73 kg,165.13 cm,Average
5955,36,45,66.12 kg,158.41 cm,Low
5956,24,18,67.01 kg,,Average
5957,25,37,59.8 kg,177.33 cm,Average
5958,22,67,56.35 kg,158.16 cm,High
5959,32,35,69.95 kg,168.33 cm,Low
5960,30,73,59.61 kg,179.51 cm,High
5961,24,52,69.08 kg,170.47 cm,Average
5962,28,26,56.99 kg,166.01 cm,Average
5963,42,44,77.85 kg,175.17 cm,Average
5964,35,29,54.98 kg,165.53 cm,Average
5965,22,57,64.52 kg,163.11 cm,High
5966,28,48,57.69 kg,179.08 cm,Low
5967,20,43,78.45 kg,162.31 cm,High
5968,25,50,,171.37 cm,Average
5969,48,50,69.92 kg,150.21 cm,Low
5970,16,,59.09 kg,173.58 cm,High
5971,26,82,53.55 kg,158.81 cm,High
5972,21,57,64.1 kg,167.75 cm,Average
5973,15,92,68.83 kg,161.79 cm,Average
5974,18,92,58.31 kg,157.23 cm,High
5975,31,47,65.64 kg,162.72 cm,Low
5976,27,19,65.41 kg,171.39 cm,Average
5977,24,49,71.33 kg,170.31 cm,High
5978,13,75,69.68 kg,178.27 cm,High
5979,28,83,68.33 kg,153.96 cm,Average
5980,15,71,79.6 kg,160.28 cm,High
5981,16,56,70.77 kg,170.58 cm,Average
5982,26,53,75.78 kg,160.04 cm,Average
5983,22,81,77.39 kg,179.84 cm,Average
5984,18,48,63.94 kg,167.9 cm,Average
5985,26,87,58.59 kg,163.02 cm,Average
5986,39,24,55.26 kg,158.33 cm,Average
5987,44,44,60.95 kg,161.55 cm,Low
5988,17,93,72.31 kg,179.43 cm,High
5989,33,51,65.4 kg,154.49 cm,Average
5990,39,22,51.53 kg,160.95 cm,Low
5991,24,94,76.88 kg,151.67 cm,High
5992,19,71,66.6 kg,175.36 cm,High
5993,20,42,51.25 kg,158.27 cm,Low
5994,21,44,53.78 kg,155.7 cm,Average
5995,18,39,74.03 kg,172.12 cm,Average
5996,25,92,79.87 kg,178.98 cm,High
5997,35,32,67.7 kg,153.31 cm,Low
5998,42,25,70.56 kg,162.84 cm,Average
5999,22,51,63.11 kg,160.84 cm,Average
6000,19,51,64.71 kg,173.19 cm,Average
6001,15,89,65.64 kg,172.96 cm,High
6002,25,82,67.27 kg,161.47 cm,High
6003,13,57,56.66 kg,158.75 cm,High
6004,25,80,76.4 kg,173.95 cm,High
6005,24,67,74.53 kg,165.38 cm,High
6006,21,70,64.17 kg,168.07 cm,High
6007,21,44,52.62 kg,169.99 cm,High
6008,32,18,70.02 kg,162.16 cm,Average
6009,25,56,78.08 kg,176.33 cm,Average
6010,22,77,73.0 kg,158.24 cm,Average
6011,25,53,72.99 kg,158.93 cm,Average
6012,19,52,56.44 kg,177.2 cm,Low
6013,22,82,68.49 kg,151.0 cm,Average
6014,47,23,57.96 kg,151.01 cm,Average
6015,30,54,51.19 kg,160.17 cm,Average
6016,,70,61.1 kg,178.31 cm,High
6017,39,26,50.37 kg,158.03 cm,Low
6018,26,27,74.22 kg,171.59 cm,Average
6019,48,20,54.51 kg,177.58 cm,Average
6020,33,32,71.47 kg,173.97 cm,Average
6021,24,70,51.32 kg,158.13 cm,High
6022,29,21,75.83 kg,156.98 cm,Average
6023,31,36,65.9 kg,175.62 cm,Average
6024,15,64,78.58 kg,159.84 cm,Average
6025,21,74,72.87 kg,172.65 cm,Average
6026,21,65,50.71 kg,165.87 cm,High
6027,19,89,61.13 kg,171.13 cm,Average
6028,30,48,50.89 kg,153.56 cm,Low
6029,20,87,57.41 kg,161.37 cm,Average
6030,20,66,55.57 kg,173.87 cm,Average
6031,28,,75.1 kg,177.31 cm,Average
6032,17,34,68.23 kg,162.38 cm,Average
6033,46,33,69.45 kg,152.28 cm,Low
6034,45,23,50.09 kg,179.46 cm,Average
6035,46,58,56.58 kg,174.89 cm,Average
6036,29,63,53.03 kg,158.46 cm,High
6037,22,92,59.54 kg,177.98 cm,Average
6038,13,56,51.14 kg,,High
6039,26,42,67.77 kg,177.67 cm,Average
6040,14,67,58.06 kg,156.18 cm,Average
6041,38,22,60.04 kg,152.59 cm,Low
6042,15,87,65.0 kg,170.14 cm,High
6043,21,81,63.42 kg,165.86 cm,Average
6044,21,89,69.45 kg,165.6 cm,High
6045,18,78,66.26 kg,160.35 cm,Average
6046,34,40,75.44 kg,173.23 cm,
6047,44,27,57.76 kg,174.2 cm,Average
6048,15,63,70.2 kg,172.74 cm,Average
6049,36,32,70.66 kg,152.33 cm,Low
6050,23,67,53.97 kg,169.67 cm,High
6051,30,40,51.77 kg,175.74 cm,Average
6052,31,48,56.75 kg,178.07 cm,Average
6053,25,57,60.37 kg,151.06 cm,High
6054,22,48,56.46 kg,160.56 cm,Low
6055,41,53,60.25 kg,179.24 cm,Low
6056,28,77,65.54 kg,150.75 cm,Average
6057,34,47,60.95 kg,164.78 cm,Low
6058,18,50,65.69 kg,155.5 cm,High
6059,27,95,57.24 kg,,Average
6060,24,50,60.1 kg,178.03 cm,Average
6061,21,39,69.95 kg,166.78 cm,Average
6062,27,44,59.15 kg,170.41 cm,Average
6063,45,24,78.14 kg,173.05 cm,Low
6064,,54,69.33 kg,151.9 cm,High
6065,28,57,53.17 kg,154.47 cm,Average
6066,27,35,,158.53 cm,Low
6067,34,29,61.05 kg,174.0 cm,Average
6068,43,50,75.35 kg,173.21 cm,Average
6069,22,56,63.64 kg,166.54 cm,Average
6070,36,26,77.2 kg,174.14 cm,Low
6071,15,72,55.77 kg,170.73 cm,High
6072,16,91,70.01 kg,150.74 cm,Average
6073,18,86,52.56 kg,176.03 cm,High
6074,17,89,67.31 kg,173.1 cm,High
6075,21,22,51.29 kg,158.14 cm,Low
6076,21,79,51.39 kg,150.74 cm,High
6077,20,36,64.45 kg,177.38 cm,Low
6078,23,55,55.71 kg,163.94 cm,High
6079,19,34,73.06 kg,152.73 cm,Average
6080,,50,68.22 kg,161.7 cm,Low
6081,46,43,69.42 kg,157.7 cm,Average
6082,21,92,64.32 kg,152.7 cm,High
6083,26,43,68.27 kg,164.77 cm,Low
6084,24,43,54.77 kg,165.28 cm,Low
6085,21,50,77.65 kg,167.62 cm,High
6086,26,58,77.53 kg,153.64 cm,High
6087,23,44,70.38 kg,158.56 cm,Average
6088,29,29,72.7 kg,172.25 cm,Low
6089,13,78,59.89 kg,153.43 cm,Average
6090,32,20,51.7 kg,151.3 cm,Low
6091,29,34,55.59 kg,161.11 cm,Average
6092,22,72,55.16 kg,151.75 cm,Average
6093,18,88,50.26 kg,152.13 cm,Average
6094,20,35,56.89 kg,171.01 cm,Low
6095,36,39,64.29 kg,154.35 cm,Average
6096,15,61,70.81 kg,178.73 cm,Average
6097,21,85,50.95 kg,154.47 cm,High
6098,44,29,70.3 kg,159.41 cm,Low
6099,19,45,78.61 kg,175.61 cm,Average
6100,14,63,79.77 kg,150.38 cm,Average
6101,20,63,70.44 kg,155.78 cm,Average
6102,14,77,76.88 kg,167.81 cm,High
6103,27,50,72.97 kg,175.29 cm,Average
6104,13,72,62.93 kg,155.46 cm,Average
6105,21,51,52.74 kg,170.71 cm,High
6106,41,45,56.34 kg,172.8 cm,Average
6107,38,29,66.83 kg,167.18 cm,Average
6108,23,85,69.01 kg,150.61 cm,Average
6109,13,75,56.12 kg,168.84 cm,Average
6110,42,46,58.21 kg,168.57 cm,Low
6111,24,95,60.52 kg,154.57 cm,Average
6112,29,67,54.43 kg,165.33 cm,Average
6113,25,49,52.39 kg,171.76 cm,High
6114,37,46,69.27 kg,151.7 cm,Low
6115,26,49,53.51 kg,176.44 cm,Average
6116,16,75,61.8 kg,161.22 cm,Average
6117,25,23,58.88 kg,159.67 cm,Low
6118,24,91,79.08 kg,152.54 cm,Average
6119,27,53,70.79 kg,178.65 cm,Average
6120,13,55,54.66 kg,161.18 cm,Average
6121,23,34,51.83 kg,159.48 cm,Low
6122,41,54,57.81 kg,150.4 cm,Low
6123,20,70,56.12 kg,158.9 cm,Average
6124,36,51,62.7 kg,169.36 cm,Low
6125,22,67,65.51 kg,163.73 cm,Average
6126,22,82,62.65 kg,166.29 cm,High
6127,35,38,75.47 kg,161.73 cm,Average
6128,16,59,64.81 kg,168.82 cm,Average
6129,21,20,76.02 kg,171.19 cm,Low
6130,23,89,75.54 kg,170.21 cm,High
6131,46,17,52.99 kg,153.67 cm,Low
6132,20,50,51.78 kg,154.9 cm,Average
6133,20,33,72.77 kg,157.2 cm,Average
6134,23,16,58.35 kg,165.97 cm,Low
6135,26,41,56.04 kg,162.18 cm,Average
6136,16,63,51.09 kg,155.22 cm,Average
6137,26,42,78.26 kg,151.45 cm,Average
6138,23,31,54.17 kg,171.24 cm,Low
6139,43,52,74.9 kg,171.7 cm,Low
6140,27,56,79.44 kg,157.22 cm,High
6141,31,30,51.2 kg,151.16 cm,Low
6142,19,76,58.34 kg,152.39 cm,Average
6143,17,41,76.47 kg,150.77 cm,Average
6144,29,65,74.69 kg,,High
6145,27,55,62.62 kg,173.7 cm,Average
6146,13,88,56.9 kg,162.54 cm,Average
6147,20,60,75.52 kg,161.77 cm,Average
6148,19,88,63.22 kg,178.45 cm,High
6149,27,54,55.83 kg,157.71 cm,Low
6150,42,26,78.0 kg,175.35 cm,Average
6151,34,25,53.42 kg,165.77 cm,Low
6152,18,69,67.82 kg,179.15 cm,Average
6153,22,64,74.68 kg,170.66 cm,High
6154,13,59,69.82 kg,160.59 cm,Average
6155,35,25,65.97 kg,153.68 cm,Low
6156,16,32,56.06 kg,156.97 cm,Low
6157,12,57,56.84 kg,165.77 cm,High
6158,15,63,58.5 kg,174.08 cm,High
6159,23,62,78.62 kg,169.83 cm,Average
6160,27,39,59.39 kg,,Low
6161,21,98,59.59 kg,150.3 cm,Average
6162,40,26,70.22 kg,150.17 cm,Average
6163,28,53,77.71 kg,172.74 cm,Average
6164,13,50,50.88 kg,166.19 cm,High
6165,44,49,56.6 kg,155.38 cm,Low
6166,22,76,69.82 kg,167.93 cm,High
6167,28,27,65.49 kg,153.86 cm,Low
6168,43,30,65.66 kg,157.86 cm,Average
6169,14,61,77.83 kg,176.26 cm,High
6170,20,53,77.19 kg,150.78 cm,High
6171,33,18,70.35 kg,165.11 cm,Low
6172,13,84,64.63 kg,174.2 cm,
6173,37,,65.45 kg,170.24 cm,Average
6174,35,30,61.43 kg,166.38 cm,Average
6175,15,43,59.11 kg,159.92 cm,High
6176,19,76,70.18 kg,154.4 cm,Average
6177,24,32,72.27 kg,177.84 cm,Average
6178,21,82,63.47 kg,179.59 cm,Average
6179,36,22,72.48 kg,179.28 cm,Low
6180,18,95,78.73 kg,167.49 cm,High
6181,46,28,78.99 kg,157.1 cm,Low
6182,26,80,69.47 kg,178.6 cm,Average
6183,23,25,56.89 kg,161.87 cm,Low
6184,17,68,59.2 kg,173.39 cm,High
6185,43,40,62.59 kg,157.58 cm,Average
6186,25,49,52.0 kg,157.31 cm,High
6187,41,60,69.04 kg,173.04 cm,Low
6188,17,43,67.25 kg,177.95 cm,High
6189,17,64,60.77 kg,159.17 cm,Average
6190,20,94,73.34 kg,153.9 cm,Average
6191,27,87,76.87 kg,153.42 cm,Average
6192,21,51,55.15 kg,179.43 cm,Average
6193,23,39,52.34 kg,157.86 cm,Average
6194,16,41,55.0 kg,160.46 cm,Low
6195,39,44,61.26 kg,170.15 cm,Average
6196,25,84,71.61 kg,153.92 cm,High
6197,40,39,65.35 kg,151.65 cm,Low
6198,28,48,78.27 kg,151.25 cm,Average
6199,24,54,63.07 kg,153.14 cm,High
6200,33,47,60.23 kg,177.41 cm,Average
6201,23,68,51.66 kg,169.54 cm,Average
6202,27,61,57.16 kg,167.68 cm,Average
6203,12,59,61.97 kg,162.75 cm,High
6204,20,88,70.22 kg,164.1 cm,High
6205,24,66,73.13 kg,179.96 cm,High
6206,45,30,79.63 kg,155.14 cm,Average
6207,44,28,52.09 kg,165.79 cm,Low
6208,44,37,77.56 kg,168.95 cm,Average
6209,20,81,55.54 kg,156.77 cm,High
6210,21,73,66.97 kg,151.66 cm,Average
6211,30,81,75.45 kg,164.63 cm,High
6212,17,68,71.21 kg,159.13 cm,Average
6213,17,36,67.74 kg,152.55 cm,Low
6214,18,79,55.79 kg,177.75 cm,Average
6215,22,53,59.97 kg,173.36 cm,Average
6216,33,54,57.48 kg,174.2 cm,Low
6217,44,55,77.54 kg,161.8 cm,Low
6218,19,58,60.82 kg,166.87 cm,Average
6219,20,58,73.4 kg,171.91 cm,High
6220,13,50,77.71 kg,160.28 cm,High
6221,41,48,58.86 kg,155.61 cm,Average
6222,23,44,66.67 kg,171.98 cm,Average
6223,20,64,78.32 kg,172.29 cm,High
6224,19,43,79.47 kg,176.79 cm,High
6225,13,75,54.56 kg,153.65 cm,Average
6226,35,25,78.03 kg,160.92 cm,Low
6227,26,65,58.75 kg,166.81 cm,Average
6228,28,74,65.8 kg,169.32 cm,Average
6229,31,48,59.03 kg,162.02 cm,Average
6230,41,47,69.69 kg,151.0 cm,Average
6231,,81,69.07 kg,171.31 cm,Average
6232,23,79,79.58 kg,163.2 cm,High
6233,12,48,58.15 kg,176.6 cm,Average
6234,18,64,57.71 kg,174.83 cm,High
6235,16,77,63.7 kg,155.65 cm,High
6236,32,31,66.9 kg,171.86 cm,Average
6237,17,73,79.62 kg,159.13 cm,High
6238,14,50,78.11 kg,152.08 cm,High
6239,30,50,58.02 kg,175.68 cm,Average
6240,21,79,56.53 kg,163.59 cm,Average
6241,22,21,72.72 kg,170.75 cm,Low
6242,36,34,69.55 kg,170.77 cm,Low
6243,21,56,68.19 kg,160.16 cm,High
6244,22,81,65.84 kg,170.18 cm,Average
6245,23,49,50.88 kg,157.34 cm,Low
6246,23,26,59.8 kg,153.17 cm,Average
6247,40,37,71.92 kg,167.77 cm,Average
6248,40,26,72.19 kg,170.15 cm,Low
6249,27,60,57.59 kg,176.46 cm,High
6250,32,39,66.93 kg,164.93 cm,Low
6251,24,50,59.22 kg,173.6 cm,High
6252,29,49,70.68 kg,170.97 cm,Average
6253,19,55,69.93 kg,162.99 cm,Low
6254,14,87,66.48 kg,166.03 cm,High
6255,15,89,63.01 kg,153.22 cm,High
6256,19,78,77.53 kg,150.92 cm,High
6257,18,82,62.75 kg,166.13 cm,High
6258,24,34,63.81 kg,171.69 cm,Average
6259,34,40,71.71 kg,170.14 cm,
6260,26,46,51.39 kg,159.73 cm,Average
6261,30,21,71.66 kg,170.68 cm,Low
6262,18,52,60.44 kg,161.65 cm,High
6263,41,47,73.36 kg,159.34 cm,Low
6264,25,46,65.64 kg,157.04 cm,Average
6265,22,49,55.48 kg,150.86 cm,Average
6266,21,79,64.32 kg,154.82 cm,Average
6267,27,61,61.01 kg,150.46 cm,Average
6268,12,65,60.13 kg,159.53 cm,Average
6269,22,99,52.78 kg,156.33 cm,High
6270,29,41,54.45 kg,159.59 cm,Low
6271,29,87,78.61 kg,151.42 cm,Average
6272,14,90,72.37 kg,166.44 cm,Average
6273,37,41,54.81 kg,164.51 cm,Average
6274,19,32,68.98 kg,167.49 cm,Average
6275,21,38,70.07 kg,172.57 cm,Low
6276,38,25,63.82 kg,179.63 cm,Low
6277,17,,54.55 kg,175.24 cm,High
6278,20,78,72.22 kg,172.36 cm,Average
6279,30,53,78.18 kg,171.14 cm,High
6280,,68,51.27 kg,157.47 cm,High
6281,15,66,56.75 kg,171.01 cm,High
6282,15,56,70.3 kg,171.79 cm,Average
6283,16,55,69.46 kg,178.24 cm,High
6284,31,35,74.02 kg,150.95 cm,Average
6285,44,20,50.1 kg,158.3 cm,Average
6286,19,77,66.75 kg,179.73 cm,High
6287,21,86,63.65 kg,165.31 cm,Average
6288,22,96,79.62 kg,156.35 cm,Average
6289,13,94,62.99 kg,176.66 cm,High
6290,46,26,58.2 kg,179.04 cm,Low
6291,43,28,74.8 kg,175.26 cm,Average
6292,39,50,59.56 kg,151.01 cm,Low
6293,49,37,77.09 kg,171.06 cm,Average
6294,17,80,66.25 kg,151.13 cm,High
6295,13,66,65.95 kg,153.95 cm,Average
6296,37,48,69.81 kg,166.85 cm,Average
6297,16,40,64.23 kg,177.21 cm,Low
6298,41,48,77.14 kg,164.87 cm,Average
6299,46,27,52.19 kg,163.16 cm,Average
6300,17,84,63.84 kg,177.58 cm,Average
6301,22,61,62.31 kg,152.61 cm,Average
6302,46,34,55.21 kg,151.4 cm,Average
6303,22,22,62.93 kg,164.36 cm,Low
6304,16,72,75.6 kg,169.68 cm,High
6305,24,36,70.76 kg,155.29 cm,Average
6306,20,53,76.02 kg,153.88 cm,Average
6307,39,22,50.16 kg,,Low
6308,17,58,68.17 kg,153.86 cm,High
6309,28,67,51.93 kg,175.0 cm,Average
6310,15,25,73.76 kg,162.18 cm,Low
6311,17,67,70.68 kg,172.79 cm,Average
6312,22,54,58.4 kg,164.4 cm,Average
6313,24,71,73.46 kg,161.51 cm,High
6314,,27,58.68 kg,178.14 cm,Average
6315,29,42,56.5 kg,167.09 cm,Average
6316,25,31,74.37 kg,154.23 cm,Low
6317,21,60,68.83 kg,165.59 cm,High
6318,18,47,66.69 kg,152.97 cm,Low
6319,22,84,67.54 kg,175.08 cm,High
6320,23,90,53.91 kg,170.57 cm,High
6321,19,28,75.5 kg,152.5 cm,Average
6322,27,54,70.85 kg,157.79 cm,High
6323,27,48,76.69 kg,172.83 cm,High
6324,29,54,65.68 kg,154.03 cm,Low
6325,24,36,75.1 kg,159.01 cm,Average
6326,28,66,55.41 kg,178.59 cm,High
6327,36,23,66.41 kg,151.44 cm,Low
6328,25,42,73.82 kg,163.2 cm,Low
6329,23,68,64.43 kg,160.44 cm,Average
6330,41,47,50.2 kg,158.57 cm,Average
6331,15,57,62.77 kg,168.04 cm,High
6332,47,50,58.96 kg,155.75 cm,Low
6333,14,74,67.45 kg,178.99 cm,Average
6334,32,35,57.54 kg,166.07 cm,Low
6335,16,78,64.85 kg,169.94 cm,Average
6336,24,82,66.31 kg,176.02 cm,High
6337,37,38,78.27 kg,165.77 cm,Low
6338,27,82,66.77 kg,172.22 cm,High
6339,16,57,60.08 kg,156.33 cm,Average
6340,25,65,51.33 kg,171.71 cm,Average
6341,28,27,79.71 kg,176.18 cm,Low
6342,34,42,57.08 kg,169.94 cm,Average
6343,28,34,64.79 kg,166.2 cm,Low
6344,18,49,72.55 kg,151.12 cm,Low
6345,25,46,70.56 kg,164.24 cm,High
6346,14,62,63.65 kg,177.18 cm,High
6347,35,36,72.06 kg,174.07 cm,Low
6348,17,29,73.36 kg,154.73 cm,Average
6349,41,27,61.37 kg,157.45 cm,Low
6350,20,70,63.37 kg,155.1 cm,High
6351,17,46,59.94 kg,179.62 cm,Average
6352,21,42,69.71 kg,172.66 cm,High
6353,17,63,57.74 kg,156.53 cm,High
6354,20,49,59.15 kg,152.1 cm,Average
6355,23,73,76.66 kg,154.2 cm,Average
6356,43,41,55.64 kg,179.68 cm,Average
6357,26,32,63.42 kg,169.54 cm,Average
6358,40,28,69.45 kg,174.94 cm,Low
6359,,49,55.02 kg,178.75 cm,High
6360,26,38,63.0 kg,179.86 cm,Low
6361,17,79,71.15 kg,152.03 cm,High
6362,,54,62.86 kg,176.8 cm,High
6363,38,27,68.95 kg,170.66 cm,Average
6364,20,42,73.74 kg,172.19 cm,Average
6365,46,39,78.23 kg,157.11 cm,Low
6366,44,41,65.26 kg,154.93 cm,Average
6367,21,32,66.52 kg,158.59 cm,Average
6368,36,51,59.73 kg,173.46 cm,Average
6369,16,92,71.35 kg,150.64 cm,High
6370,23,52,56.27 kg,160.98 cm,Average
6371,19,78,69.06 kg,171.09 cm,High
6372,24,78,51.54 kg,150.15 cm,Average
6373,37,34,74.51 kg,150.49 cm,Low
6374,24,41,55.98 kg,168.19 cm,High
6375,20,70,53.06 kg,166.69 cm,Average
6376,18,29,75.37 kg,150.31 cm,Average
6377,21,49,58.66 kg,164.67 cm,High
6378,22,69,50.46 kg,166.16 cm,High
6379,12,73,54.78 kg,167.93 cm,High
6380,41,20,75.15 kg,167.65 cm,Low
6381,27,96,79.44 kg,167.4 cm,Average
6382,32,43,60.1 kg,175.34 cm,Low
6383,43,23,58.83 kg,151.68 cm,Average
6384,28,39,71.48 kg,174.44 cm,High
6385,30,52,69.24 kg,164.6 cm,Average
6386,16,47,65.3 kg,177.4 cm,Average
6387,23,64,52.44 kg,168.78 cm,Average
6388,21,67,57.6 kg,155.54 cm,Average
6389,27,42,58.73 kg,171.08 cm,Low
6390,19,84,70.99 kg,173.3 cm,Average
6391,18,96,53.48 kg,150.57 cm,Average
6392,24,65,52.51 kg,166.74 cm,High
6393,49,52,58.77 kg,150.2 cm,Average
6394,18,45,71.03 kg,179.85 cm,Low
6395,18,65,70.27 kg,179.63 cm,Average
6396,25,39,67.54 kg,164.18 cm,Low
6397,20,51,79.14 kg,150.54 cm,High
6398,23,27,67.89 kg,179.64 cm,Average
6399,30,50,58.06 kg,168.01 cm,Average
6400,30,25,50.23 kg,171.31 cm,Low
6401,27,51,62.2 kg,171.28 cm,High
6402,23,64,66.24 kg,175.28 cm,Average
6403,33,28,78.35 kg,159.51 cm,Average
6404,11,86,57.12 kg,164.34 cm,Average
6405,38,34,50.66 kg,150.34 cm,Low
6406,28,89,60.75 kg,160.93 cm,Average
6407,28,79,70.18 kg,163.15 cm,High
6408,22,97,58.38 kg,170.9 cm,High
6409,29,47,53.97 kg,158.98 cm,Average
6410,39,40,52.55 kg,179.43 cm,Low
6411,13,43,78.2 kg,162.45 cm,High
6412,23,50,72.76 kg,177.1 cm,Low
6413,28,21,,150.59 cm,Average
6414,43,55,62.64 kg,161.15 cm,Average
6415,46,46,69.05 kg,172.73 cm,Average
6416,18,91,68.02 kg,177.88 cm,High
6417,19,48,79.07 kg,167.74 cm,Average
6418,23,51,76.79 kg,179.98 cm,Low
6419,38,55,78.76 kg,150.02 cm,Average
6420,13,95,70.86 kg,166.73 cm,Average
6421,24,59,56.26 kg,164.15 cm,Average
6422,35,40,61.17 kg,158.06 cm,Average
6423,39,43,54.59 kg,159.34 cm,Low
6424,31,50,50.14 kg,169.75 cm,Average
6425,34,23,65.77 kg,162.44 cm,Low
6426,23,65,70.79 kg,177.2 cm,High
